filename, language, PHP, CSS, JavaScript, comment, blank, total
adInfo.php, PHP, 138, 0, 0, 5, 19, 162
adminpanel.php, PHP, 203, 0, 0, 2, 20, 225
classes\advertisement.php, PHP, 183, 0, 0, 12, 31, 226
classes\category.php, PHP, 38, 0, 0, 1, 10, 49
classes\comment.php, PHP, 42, 0, 0, 1, 17, 60
classes\db_connection.php, PHP, 46, 0, 0, 4, 9, 59
classes\user.php, PHP, 88, 0, 0, 4, 24, 116
components\style_comp\footer.php, PHP, 7, 0, 0, 0, 0, 7
components\style_comp\head.php, PHP, 11, 0, 0, 0, 0, 11
components\style_comp\header.php, PHP, 91, 0, 0, 3, 15, 109
createAd.php, PHP, 175, 0, 0, 5, 22, 202
css\style.css, CSS, 0, 34, 0, 1, 11, 46
index.php, PHP, 128, 0, 0, 3, 16, 147
login.php, PHP, 70, 0, 0, 0, 17, 87
profile.php, PHP, 105, 0, 0, 4, 11, 120
registration.php, PHP, 135, 0, 0, 12, 23, 170
script\myscript.js, JavaScript, 0, 0, 35, 3, 7, 45
search.php, PHP, 181, 0, 0, 8, 25, 214
Total, -, 1641, 34, 35, 68, 277, 2055
